code;name;country_id;icao
RNS;Rennes Airport;FR;LFRN
RNT;Renton;US;KRNT
ROB;Roberts International Airport;LR;GLRB
ROI;Roi Et Airport;TH;VTUV
ROK;Rockhampton Airport;AU;YBRK
RUD;Shahrud;IR;OIMJ
RUL;Maavaarulaa Airport;MV;VRQM
RUN;Reunion Roland Garros Airport;RE;FMEE
RUP;Rupsi;IN;VERU
RVN;Rovaniemi Airport;FI;EFRO
RVT;Ravensthorpe;AU;YNRV
RVY;Rivera;UY;SURV
RZE;Rzeszow International Airport;PL;EPRZ
RZH;Preobrazheniye;RU;UIKP
RZR;Ramsar;IR;OINR
DEC;Decatur Airport;US;KDEC
DED;Dehra Dun Airport;IN;VIDN
DEE;Mendeleyevo Airport;RU;UHSM
KPM;Kompiam;PG;AYAQ
YPN;Port Menier;CA;CYPN
DEH;Municipal;US;KDEH
DEL;Indira Gandhi International Airport;IN;VIDP
YPY;Fort Chipewyan Airport;CA;CYPY
DEN;Denver International Airport;US;KDEN
DEO;Hyatt Regency Heliport;US;
DER;Derim;PG;AYDE
DET;Detroit City;US;KDET
DEZ;Al Jafrah;SY;OSDZ
DFI;Memorial;US;KDFI
DFW;Dallas/Fort Worth International Airport;US;KDFW
DGN;NAF;US;KNDY
DGO;Guadalupe Victoria Airport;MX;MMDO
DGP;Daugavpils;LV;EVDA
DGU;Dedougou;BF;DFOD
DGW;Converse County;US;KDGW
DHA;King Abdulaziz AB;SA;OEDR
DHI;Dhangarhi;NP;VNDH
BLO;Blonduos;IS;BIBL
DHL;Dhala;YE;
MKB;Mekambo;GA;FOOE
RZS;Sawan;PK;OPSW
SAA;Shively Field;US;KSAA
SAG;Shirdi;IN;VASD
SAT;San Antonio International Airport;US;KSAT
SAW;Sabiha Gokcen International Airport;TR;LTFJ
BOY;Borgo;BF;DFOO
SBA;Santa Barbara Municipal Airport;US;KSBA
SCF;Scottsdale Airport;US;KSDL
SCN;Ensheim Airport;DE;EDDR
SCQ;Santiago De Compostela Airport;ES;LEST
SCR;Scandinavian Mountains Airport;SE;ESKS
SCS;Scatsta;GB;EGPM
SCT;Socotra;YE;OYSQ
SCU;Antonio Maceo Airport;CU;MUCU
SCV;Suceava Airport;RO;LRSV
YXT;Northwest Regional Airport;CA;CYXT
DHM;Gaggal Airport;IN;VIGG
SDL;Sundsvall-Timra Airport;SE;ESNN
DHN;Dothan Regional Airport;US;KDHN
SDQ;Las Americas International Airport;DO;MDSD
RTE;Marguerite Bay;US;
YTB;Hartley Bay;CA;CAY4
DHT;Dalhart;US;KDHT
DIB;Dibrugarh Airport;IN;VEMN
DIE;Antsiranana/Arrachart;MG;FMNA
YWY;Wrigley;CA;CYWY
YXJ;North Peace Regional Airport;CA;CYXJ
DIG;Diqing Shangri-La Airport;CN;ZPDQ
DIJ;Dijon;FR;LFSD
